title,predicted_category
Brand auf S-Bahnhof,Raub
Verkehrsunfall mit Polizeibeteiligung,Raub
Senior bei Unfall tödlich verletzt,Verkehrsunfall
Kind bei Unfall schwer verletzt,Verkehrsunfall
Brennende Kleintransporter,Raub
Autos brannten,Raub
Gebäude beschmiert,Raub
Eingangstür eines Amtsgerichtes angezündet,Raub
Frau verletzt Mann im Streit mit Messer,Raub
Mehrere Verletzte nach Verkehrsunfall,Diebstahl
Parteibüro beschädigt,Raub
Sachbeschädigungen an Polizeigebäude und Fahrzeugen,Raub
Größere Menge Marihuana sichergestellt – Vier Männer festgenommen,Raub
Nach Unfall weggefahren,Diebstahl
Auto brannte,Brandstiftung
Lieferfahrzeuge ausgebrannt,Raub
Mann wirft mit Fahrrad und beißt Polizisten,Raub
Festnahme eines Mannes nach beabsichtigtem Waffenkauf,Diebstahl
Kabelschacht brannte – Staatsschutz ermittelt,Raub
Autos und Führerscheine beschlagnahmt,Raub
Verkehrshinweise der Polizei zu Sprengungen im Grunewald,Raub
Festnahme nach Autodiebstahl,Diebstahl
Motorradfahrer bei Unfall tödlich verletzt,Verkehrsunfall
Mit Glasflaschen attackiert,Raub
Bankfiliale beschädigt,Raub
Polizeiliche Maßnahmen anlässlich verschiedener Demonstrationen in Berlin,Sachbeschädigung
Verdacht von Brandstiftungen,Raub
Rollerfahrer bei Unfall schwer verletzt,Verkehrsunfall
Zeitungsladen ausgeraubt,Raub
Polizeikräfte bei Einsatz angegriffen,Raub
Einsatzwagen verunglückt,Raub
Mutmaßlich Rennen gefahren – Führerscheine und Fahrzeuge beschlagnahmt,Raub
Haus und Gehweg mit Farbe beschädigt,Raub
Matratze und Zweiräder in Brand gesetzt,Sachbeschädigung
Beleidigt und attackiert,Raub
Brandstiftung an Pkw,Raub
Mann bei Raub mit Messer verletzt,Verkehrsunfall
Fassade einer Anwaltskanzlei beschmiert,Raub
Auto gestoppt und beschlagnahmt,Brandstiftung
Nach Raub – Tatverdächtiger ermittelt,Diebstahl
Hakenkreuze auf Mesusa an Synagoge,Raub
Raubüberfall auf Tankstelle,Raub
Mutmaßlicher Einbrecher festgenommen,Raub
Fußgänger flüchtet nach Verkehrsunfall,Diebstahl
Schwerverletzte Radfahrerin nach Verkehrsunfall,Diebstahl
Festnahme nach Quad-Diebstahl,Diebstahl
Versuchter Büroeinbruch - Festnahme,Diebstahl
Autofahrer bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Diebstahl in Supermarkt – Mitarbeiter bedroht und geschlagen - Festnahme,Sachbeschädigung
Kind bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Stellungnahme der Polizei Berlin zur aktuellen medialen Berichterstattung bezüglich einer Chatgruppe,Raub
Vermisster Senior ist tot,Raub
Ausstellung „30 Jahre Gesamtberliner Polizei“,Raub
Fußgänger bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Fremdenfeindlich beleidigt,Körperverletzung
Verletzte Fahrzeugführerin nach Heckaufprall,Diebstahl
Alkoholisiert mit nicht zugelassenem E-Scooter Unfall gebaut,Raub
Imbissstand brannte,Raub
Schwerverletzte nach Verkehrsunfall,Diebstahl
Trio raubte Einnahmen eines Spätkaufs,Raub
Mutter und Tochter beleidigt – Polizeilicher Staatsschutz ermittelt,Körperverletzung
Zu viel Verbotenes im Auto,Brandstiftung
Frau bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Gemeinsamer Schwerpunkteinsatz – Kontrolle eines Großmarktes,Raub
Kind beim Verkehrsunfall schwer verletzt,Verkehrsunfall
Geländewagen brannte,Raub
Parteibüro beschädigt,Raub
Tätlicher Angriff,Raub
Auf frischer Tat,Raub
Tätlicher Angriff und Widerstand,Raub
Friedhofsmauer mit Nazi-Symbolen beschmiert,Raub
Hitlergruß gezeigt,Raub
Mann überrollt und mitgeschleift,Raub
Fahrzeug angezündet,Raub
Verbotenes Kraftfahrzeugrennen und Verkehrsunfall mit Schwerverletztem,Raub
Während der Kontrolle vor der Polizei geflüchtet - Festnahme,Betrug
Gefährliche Körperverletzung,Raub
Streit im Straßenverkehr mündet in Polizeieinsatz,Sachbeschädigung
Vor Kontrolle geflüchtet und Polizeifahrzeug beschädigt,Raub
Fahrgast bei Unfall verletzt,Raub
Kellerbrand,Raub
Fahrzeuge ausgebrannt,Raub
Verkehrsunfall mit Blaulicht und Martinshorn,Raub
Junge Männer mit Messer verletzt,Raub
Fahrzeuge brannten,Raub
Fußgängerin nach Verkehrsunfall schwer verletzt,Verkehrsunfall
Unterschlagung in mindestens 30 Fällen,Sachbeschädigung
Radfahrer bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Nach schwerem Verkehrsunfall,Diebstahl
Mit Werkzeug geschlagen und ausgeraubt,Raub
Verkehrsunfall mit schwerverletztem Fußgänger,Raub
Festnahme nach räuberischem Diebstahl,Diebstahl
Kind durch Tritte verletzt,Raub
Verkehrsunfall mit schwerverletztem Radfahrer,Raub
Nach Diebstahl aus Auto festgenommen,Brandstiftung
Paar nach Diebstahl festgenommen,Diebstahl
BVG-Sicherheitsmitarbeiter antisemitisch beleidigt,Körperverletzung
Mann mit Messer verletzt,Verkehrsunfall
Verkehrsunfall mit schwerverletzter Fußgängerin,Raub
Nach Wohnungseinbruch,Diebstahl
Schwer verletzter Motorradfahrer nach Unfall,Verkehrsunfall
Mann schwer verletzt vorgefunden,Verkehrsunfall
Verkehrsunfall nach verbotenem Kraftfahrzeugrennen,Diebstahl
Radfahrer bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Motorradfahrer nach Verkehrsunfall verstorben,Verkehrsunfall
Mehrere Verletzte nach Wohnhausbrand,Diebstahl
Schwer verletzte Fußgängerin nach Verkehrsunfall,Diebstahl
Radfahrerin von Auto erfasst,Brandstiftung
Junger Mann durch Stiche verletzt,Raub
Schüler ist wieder da,Raub
Schwer verletzte Fahrradfahrerin,Raub
Fahrradfahrerin bei Unfall schwer verletzt,Verkehrsunfall
Fußgänger von Auto erfasst,Brandstiftung
Auto stand in Flammen,Brandstiftung
Drei Schwerverletzte nach Verkehrsunfall,Diebstahl
Mit Schusswaffe gedroht und Geld gefordert,Raub
Festnahme nach Brandstiftung,Diebstahl
Parteibüro beschädigt und beschmiert,Raub
Bäume abgesägt und geflüchtet,Raub
Umbenennung der Polizeidirektion 6,Raub
Autos nach Verkehrsunfall fahrunfähig,Diebstahl
"Strafermittlungen nach Körperverletzung, Widerstand und Beleidigung",Diebstahl
Festnahme nach Einbruchversuch,Diebstahl
Vater und Sohn bei Verkehrsunfall verletzt,Verkehrsunfall
Einnahmen geraubt,Raub
Widerstand gegen Vollstreckungsbeamte,Raub
Radfahrer schwer verletzt,Verkehrsunfall
Verdacht des Drogenhandels – Brüder festgenommen,Raub
Autofahrer zu schnell unterwegs,Raub
Motorrad gestohlen – Tatverdächtige festgenommen,Raub
Überfall in Baumarkt,Sachbeschädigung
Schiffsunfall,Raub
Von mehreren Personen geschlagen und verletzt,Raub
Toilettenhäuschen in Brand gesetzt,Sachbeschädigung
Mutmaßlicher Drogenhändler verletzt Polizist - Festnahme,Raub
Richtigstellung,Raub
Rollstuhlfahrer ausgeraubt,Raub
Angriff mit homophoben Hintergrund,Raub
Verkehrsunfall verursacht und geflüchtet,Raub
Mann mit Messer verletzt,Verkehrsunfall
Vor Unterkunft für Geflüchtete geschrien,Raub
Bewusstlos nach Sturz mit dem Fahrrad,Raub
Autofahrerin bei Verkehrsunfall schwerverletzt,Raub
Mann schüttete Polizistin heißen Kaffee ins Gesicht,Raub
Schwerer Raub auf Kiosk,Raub
Rassistisch beleidigt und geschlagen,Körperverletzung
Festnahme nach Autoeinbruch,Diebstahl
Nach Körperverletzung der Polizei gestellt,Diebstahl
Zwei Fahrzeuge angezündet,Raub
Verkehrsunfall mit schwerverletztem Radfahrer,Raub
Alkoholisierter Radfahrer bei Sturz schwer verletzt,Verkehrsunfall
Verkehrsunfall mit schwerverletztem Kind,Raub
Tatgeschehen vom 18.08.2020 auf dem Berliner Stadtring - BAB 100,Raub
Frauen fremdenfeindlich beleidigt,Körperverletzung
Mann nach Stoß ins Wasser ertrunken – Tatverdächtiger ermittelt,Sachbeschädigung
Kontrolle entzogen - Festnahme,Diebstahl
Diebstahl mit anschließendem Fahrzeugbrand,Raub
Verkehrsunfall mit schwerverletztem Kind,Raub
Schwere Handverletzungen nach Verkehrsunfall,Diebstahl
Zeugen verfolgen Bankräuber,Raub
Nach räuberischer Erpressung,Diebstahl
Nach Raub vom Handy – Tatverdächtiger ermittelt,Diebstahl
Schüsse bei Auseinandersetzung – Mordkommission ermittelt,Raub
Blumendiebstahl führt zu Polizei- und Feuerwehreinsatz,Raub
Verkehrsunfall mit schwerverletzten Kindern,Raub
Auf den Bahnsteig geschubst und geschlagen,Raub
Schwer verletzte Fahrradfahrerin nach Unfall,Diebstahl
Knackgeräusche wecken Aufmerksamkeit,Raub
Schwerpunktkontrollen von Polizei und Ordnungsamt Treptow-Köpenick im Treptower Park,Raub
Verkehrsunfall unter Alkoholeinfluss,Raub
Tatverdächtiger nach Diebstahl festgenommen,Diebstahl
Mehrere Verletzte bei Verkehrsunfall,Raub
Bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Festnahmen nach Diebstahl eines Motorrades,Diebstahl
Spielcasino überfallen,Raub
Nach schwerem Landfriedensbruch und gefährlicher Körperverletzung,Diebstahl
Pkw brannte vollständig aus,Raub
"Kontrollstelle missachtet, Fahrt fortgesetzt – zwei Verletzte",Raub
Diebstahl aus Pkw - Festnahme,Diebstahl
Kopfverletzung nach Raub,Diebstahl
Verletzter Fahrradfahrer nach Unfall,Diebstahl
Nach Streit schwer verletzt ins Krankenhaus,Verkehrsunfall
Fußgänger angefahren und in Gebäudewand gelandet,Sachbeschädigung
Mutmaßlicher Wohnungseinbrecher festgenommen,Raub
Verkehrsunfall mit schwerverletzten Radlern,Raub
Zwei Festnahmen nach mutmaßlichem Rauschgifthandel,Diebstahl
Mann bricht in Lokal zusammen,Sachbeschädigung
Mann leblos aufgefunden – Mordkommission ermittelt,Raub
Von Frauen verprügelt,Raub
Verbotenes Kraftfahrzeugrennen,Raub
Lieferwagen brannte,Raub
Wildunfall,Raub
Radfahrerin schwer verletzt,Verkehrsunfall
Bürgerbüro beschädigt,Raub
Festnahme einer mutmaßlichen Bande von Trickdieben,Raub
Verletzte Fahrradfahrerin nach Verkehrsunfall zurückgelassen,Diebstahl
Trickdiebstahl in Wohnung vereitelt,Sachbeschädigung
Radfahrerin bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Vermisster Mann wieder zurück,Raub
Sachbeschädigung an Bürogebäude,Raub
Verbotenes Kraftfahrzeugrennen,Raub
Toter aus dem Jungfernheideteich identifiziert,Raub
Drei verletzte Einsatzkräfte nach Widerstand,Diebstahl
Mann durch Schnitte und Stiche lebensgefährlich verletzt,Raub
Sachbeschädigungen mit politischer Motivation,Raub
Radfahrer schwer verletzt,Verkehrsunfall
"Erst Beifahrer geschlagen, dann Polizist tätlich angegriffen",Raub
Schädelverletzung nach Straßenraub,Diebstahl
Fußgänger von Motorrad erfasst und schwer verletzt,Verkehrsunfall
Verdacht des Corona-Beihilfebetruges - Durchsuchungsbeschlüsse bei mutmaßlich rechtsextremistischen Tatverdächtigen vollstreckt,Raub
Nach versuchtem Totschlag - 3. Mordkommission sucht Zeugen,Diebstahl
Zelt angezündet,Raub
Mutmaßliche Diebesbande festgenommen,Raub
Drei Männer bei Verkehrsunfällen schwer verletzt,Verkehrsunfall
Mutmaßlicher Räuber festgenommen,Raub
Mit gestohlenen Kennzeichen vor der Polizei geflüchtet,Betrug
Polizist beleidigt,Körperverletzung
Durchsuchungsbeschlüsse vollstreckt,Raub
Verkehrsunfall bei Spurwechsel,Raub
Mit gestohlenem E-Scooter unter Drogeneinfluss unterwegs,Raub
Sachbeschädigung durch Farbbeutelwürfe,Raub
Schlafender Obdachloser angegriffen,Raub
Ermittlungen wegen Volksverhetzung,Raub
Festnahme nach versuchtem Raub,Diebstahl
Verdächtiger Gegenstand,Raub
Nach verbotenem Fahrzeugrennen - Führerschein und Fahrzeug weg,Diebstahl
Leichtverletzte nach Unfall mit Polizeibeteiligung,Diebstahl
Mann homophob beleidigt und geschlagen,Körperverletzung
Mann erleidet Stichverletzung,Raub
Kind bei Verkehrsunfall verletzt,Verkehrsunfall
Bundeszentrale beschmiert,Raub
Mann stürzt mit E-Scooter,Raub
Versuchte Brandstiftung an Lkw,Raub
Raub in Spätkauf,Sachbeschädigung
Radfahrer nach Unfall mit Straßenbahn schwer verletzt,Verkehrsunfall
Radfahrer bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Mann bei Auseinandersetzung verletzt,Verkehrsunfall
Schussabgabe auf Tempelhofer Feld – scharfe Schusswaffe aufgefunden,Raub
Helfer attackiert,Raub
Fahrzeug fährt auf Polizisten zu - Schusswaffengebrauch,Raub
Unfälle nach Flucht vor Polizei,Diebstahl
Mutmaßlicher Einbrecher festgenommen,Raub
Brennende Fahrzeuge,Raub
Motorradfahrer nach Unfall auf Intensivstation,Diebstahl
Verbotenes Kraftfahrzeugrennen,Raub
Fahrzeuge in Brand gesetzt,Sachbeschädigung
Mann überfallen und leicht verletzt,Verkehrsunfall
Verdacht der Brandstiftung,Raub
12-Jähriger bei Unfall lebensgefährlich verletzt,Verkehrsunfall
Die Fahrradstaffel der Polizei Berlin wird größer,Raub
Senior bei Unfall lebensgefährlich verletzt,Verkehrsunfall
Kind bei Unfall schwer verletzt,Verkehrsunfall
Bei Überfall mit Pfefferspray gesprüht,Raub
Festnahmen nach Überfall auf Tankstelle,Diebstahl
Wohnwagen in Brand gesetzt,Sachbeschädigung
Verletzte nach Körperverletzung – Festnahmen,Diebstahl
Quad in Brand gesetzt,Sachbeschädigung
Pkw zweites Mal in Brand gesetzt,Sachbeschädigung
Festnahmen nach mutmaßlichem Drogenhandel,Diebstahl
Festnahmen nach Geschäftseinbruch,Diebstahl
Ehemaliger Pastor getötet – Tatverdächtige in Rumänien festgenommen – weiterhin Zeugen gesucht,Sachbeschädigung
Touristen von Touristen fremdenfeindlich beleidigt,Körperverletzung
Drei Personen bei Verkehrsunfall verletzt,Verkehrsunfall
Versuchte sexuelle Nötigung,Raub
Ermittlungen wegen schweren Landfriedensbruchs,Raub
Verdacht des illegalen Kraftfahrzeugrennens – Zwei Verletzte,Raub
Zusammenstoß zwischen Auto und Roller,Brandstiftung
Schwere Kopfverletzungen nach Auseinandersetzung,Diebstahl
Zwei Schwerverletzte bei Verkehrsunfall – Zeugen gesucht,Raub
Stellungnahme der Polizei Berlin zu zwei Festnahmen am Großen Stern,Raub
Verkehrsunfall auf der Warschauer Brücke – Zeugen gesucht,Raub
Mehrere Kundgebungen und Demonstrationen in Mitte,Sachbeschädigung
Festnahme nach Tankstellenüberfällen,Diebstahl
Verletzter Mann bricht zusammen – Helfer werden bedrängt,Raub
Pfarrer während der Messe niedergeschlagen,Raub
"Verkehrsunfall – Fahrer betrunken, alle vier Insassen verletzt",Raub
Festnahme nach Hitlergruß,Diebstahl
Illegale Musikveranstaltung durch Polizei beendet,Raub
Raubversuch in Tankstelle scheitert an Kunden,Sachbeschädigung
Frau nach Körperverletzung festgenommen,Diebstahl
Auto angezündet,Brandstiftung
Nach homophober Beleidigung mit Glasflasche am Kopf verletzt,Raub
Feuer in Tiefgarage – zwei Autos brannten,Sachbeschädigung
Nach Diebstahl eines Handys zur Wehr gesetzt,Diebstahl
Schwerverletzter Fußgänger nach Verkehrsunfallflucht,Diebstahl
Beleidigt und mit Bierflasche beworfen,Raub
Verkehrsunfall mit drei Verletzten,Raub
Lamborghini vor Polizei geflüchtet,Betrug
Auto brannte,Brandstiftung
Vermutlicher Fehlalarm führte zu Polizeieinsatz,Raub
Fußgängerin von Rad erfasst,Raub
In Erdgeschosswohnung eingestiegen und Mieterin überfallen - Festnahme,Sachbeschädigung
Stoffbeutel aufgeschlitzt und Portemonnaie geklaut - Festnahme,Raub
Festnahme nach Diebstahl aus einem Auto,Diebstahl
Versuchter Raub in Apotheke – Nachbarn halten Tatverdächtigen fest,Sachbeschädigung
Festnahmen im Eisladen,Diebstahl
Mit dem Motorrad von der Fahrbahn abgekommen – schwer verletzt,Raub
Radfahrende zusammengestoßen – Frau schwer verletzt,Verkehrsunfall
Seniorin bei Verkehrsunfall schwer verletzt,Verkehrsunfall
Fremdenfeindliche Beleidigung,Raub
Gemeinsamer Schwerpunkteinsatz – Kontrolle von Spielstätten,Raub
Mehrere Autos brannten,Raub
Mehrere Festnahmen nach Taschendiebstahl,Diebstahl
Fußgänger bei Unfall schwer verletzt,Verkehrsunfall
Zwei Geldinstitute überfallen – Tatverdächtiger festgenommen,Raub
Polizist außer Dienst greift ein und trifft auf Widerstand,Raub
Integrierte Berufsausbildungsvorbereitung bei der Polizei Berlin,Raub
Kaffee gestohlen und Widerstand geleistet,Raub
Fußgänger angefahren und schwer verletzt – Fahrzeugführer flüchtig,Verkehrsunfall
Mann bedroht Kinder – SEK Einsatz,Raub
Mit dem Auto ins Brückengeländer,Brandstiftung
Amphetamin beschlagnahmt – vier Festnahmen,Raub
Bilanz der polizeilichen Verkehrskontrollen zur Schulwegüberwachung,Raub
Tödlich verletzte Radfahrerin identifiziert,Raub
Fußgänger von Auto erfasst und schwer verletzt,Brandstiftung
Auto in Flammen,Brandstiftung
Sportwagen mit überhöhter Geschwindigkeit auf der BAB unterwegs,Raub
Polizist außer Dienst verfolgt mutmaßlichen Messerstecher,Raub
Mann angegriffen und verletzt,Raub
Rollstuhlfahrerin flüchtete vom Unfallort,Raub
Tankstelle überfallen,Raub
15-Jährige bei Unfall schwer verletzt,Verkehrsunfall
Autos brannten,Raub
Seniorin schwer verletzt,Verkehrsunfall
"Bekämpfung der Clankriminalität - Lokalkontrollen in Neukölln, Kreuzberg und Treptow",Sachbeschädigung
Bei Straßenraub verletzt,Verkehrsunfall
Mutmaßliche Autoeinbrecher festgenommen,Raub
Spätkauf überfallen,Raub
Nach Brandstiftung an Kfz – Tatverdächtiger festgenommen,Diebstahl
Verletzter Fahrradfahrer nach Unfall,Diebstahl
Auto angezündet,Brandstiftung
Bars und Cafés kontrolliert,Raub
Mann droht mit Messer und zersticht Reifen,Raub
Festnahme nach Motorraddiebstahl,Diebstahl
Radfahrer von Pkw erfasst,Raub
Kleintransporter kollidiert mit mehreren Fahrzeugen – Fahrer betrunken,Raub
Fußgänger nach Verkehrsunfall verstorben,Verkehrsunfall
Streit an Kasse führt zu Polizeieinsatz,Raub
Ladendieb attackiert Polizisten,Raub
Auto lag nach Unfall auf der Seite,Brandstiftung
Mit Glasflasche verletzt – Festnahme,Raub
"22-Jähriger nach versuchtem Taschendiebstahl, versuchtem Raub und gefährlicher Körperverletzung festgenommen",Diebstahl
Zeuge erkennt Tatverdächtigen,Raub
Bei Schlägerei verletzt,Verkehrsunfall
Nach Brandstiftung in Lokal – Polizei sucht Zeugen,Sachbeschädigung
Durchsuchung und Festnahme nach Büroeinbrüchen,Diebstahl
Festnahme nach Brandstiftung,Diebstahl
Kind von Unbekanntem rassistisch beleidigt und geschubst,Körperverletzung
13-Jähriger bei Verkehrsunfall verletzt,Verkehrsunfall
Zwei Verletzte bei Unfall,Raub
Haftbefehl wegen Rauschgifthandels in nicht geringer Menge,Sachbeschädigung
Stichverletzungen nach Ruhestörung,Diebstahl
Mutmaßlich islamistischer Anschlag auf der Bundesautobahn,Raub
Radfahrer von Tram erfasst,Raub
Bei Streit um Ruhe beleidigt,Körperverletzung
Getränkemarkt überfallen,Raub
Radfahrerin bei Verkehrsunfall tödlich verletzt – Polizei sucht Zeugen,Verkehrsunfall
Radfahrerin bei Verkehrsunfall verletzt,Verkehrsunfall
Fahrzeug in Brand gesetzt,Sachbeschädigung
Tödlich verunglückte Frau identifiziert – Polizei sucht Zeugen zum Verkehrsunfall,Raub
Bandenmäßige Taschendiebstähle und Computerbetrug,Raub
Bei Einbruch erwischt – Festnahme nach Flucht,Diebstahl
Autos brannten,Raub
Frau ins Gleisbett gestoßen,Raub
Zwei Männer nach Auseinandersetzung verletzt,Diebstahl
Achtjährige bei Unfall schwer verletzt,Verkehrsunfall
Radfahrerin bei Verkehrsunfall tödlich verunglückt,Raub
Polizistinnen und Polizisten attackiert und verletzt,Raub
Festnahmen nach Motorraddiebstahl,Diebstahl
Mann mit Messer verletzt,Verkehrsunfall
Bei Unfall schwer verletzt,Verkehrsunfall
Verdacht der Brandstiftung,Raub
Motorrad brannte,Raub
Radfahrer gestürzt und schwer verletzt,Verkehrsunfall
Gastwirt rassistisch beleidigt und attackiert,Körperverletzung
Niedergeschlagen und ausgeraubt - Festnahme,Raub
Bei Überfall verletzt,Verkehrsunfall
Autofahrer missachtet Anhaltezeichen – Polizeikräfte müssen sich in Sicherheit bringen,Sachbeschädigung
Fahrzeug in Brand geraten,Sachbeschädigung
Kinderwagen in Hausflur angezündet – mehrere Hausbewohner verletzt,Sachbeschädigung
Zusammenstoß zwischen Rettungswagen und Transporter – zwei Leichtverletzte,Raub
Roller von Auto erfasst,Brandstiftung
Festnahme nach Brandstiftungen,Diebstahl
Fußgänger von Auto erfasst,Brandstiftung
"Beleidigt, Hitlergruß gezeigt, geschlagen",Raub
Unerlaubtes Kraftfahrzeugrennen und Rauschgifthandel,Raub
Gegen Oberleitungsmast der Straßenbahn gefahren,Raub
Verbotenes Kraftfahrzeugrennen beendet,Raub
Festnahme nach Straßenraub,Diebstahl
Fahrzeug überschlägt sich – Fahrerin und Radfahrer schwer verletzt,Verkehrsunfall
Mit Schreckschusswaffe von Balkon geschossen - Polizeieinsatz,Raub
Radfahrer schwer verletzt,Verkehrsunfall
Brennende Fahrzeuge,Raub
Mann in Park lebensgefährlich verletzt,Sachbeschädigung
Mofa-Fahrer schwer verletzt,Verkehrsunfall
Sachbeschädigung an Bundesgeschäftsstelle,Raub
Tatverdächtiger in der Palisadenstraße festgenommen,Sachbeschädigung
Zweiradfahrerin bei Unfall schwer verletzt,Verkehrsunfall
Auto angezündet,Brandstiftung
Transporter brannte,Raub
Beleidigt und mit Reizstoff besprüht,Raub
Polizeibeamtin angegriffen,Raub
Fahrradfahrer bei Verkehrsunfall verletzt,Verkehrsunfall
Zwei Männer festgenommen,Raub
Verdacht des Drogenhandels - Festnahme,Raub
Radfahrer mit Flüssigkeit besprüht,Raub
Zwei verletzte Polizeibeamte nach Nötigung im Straßenverkehr,Diebstahl
Frau im Bus beleidigt und getreten,Körperverletzung
Vom Balkon geschossen,Raub
Feuer in Krankenhaus - Festnahme,Sachbeschädigung
Mehrere Brandstiftungen an Fahrzeugen,Raub
Kassiererin verletzt,Verkehrsunfall
Mann lebensgefährlich verletzt,Verkehrsunfall
Gebäude auf Campus beschmiert und Fenster zerstört,Raub
Viel zu schnell unterwegs – Führerschein beschlagnahmt,Raub
Motorradfahrer vom Pkw erfasst und schwer verletzt,Verkehrsunfall
Fahrradfahrer schwer verletzt,Verkehrsunfall
Festnahme nach Einbruch,Diebstahl
Fahrzeug angezündet,Raub
Durch Messerstiche lebensgefährlich verletzt,Raub
Mutter und Kind wiedergefunden,Raub
Schwer verletzter Radfahrer,Verkehrsunfall
Bürogebäude und Fahrzeuge beschädigt,Raub
Ohne Führerschein und mit gestohlenen Kennzeichen vor der Polizei geflüchtet,Betrug
Radfahrerin schwer verletzt,Verkehrsunfall
Nachbarschaftsstreit eskaliert,Raub
"Zu schnell, ohne Führerschein, alkoholisiert und gesucht",Raub
Verbotenes Kraftfahrzeugrennen – Auto und Führerschein weg,Brandstiftung
Auto geraubt – Tatverdächtiger festgenommen,Brandstiftung
Nach versuchtem Totschlag – Tatverdächtiger festgenommen,Diebstahl
Autotür geöffnet- Radfahrer bei Verkehrsunfall verletzt,Verkehrsunfall
Pritschenfahrzeug brannte,Raub
Nach Zusammenstoß – Arm überrollt,Diebstahl
Radlader brannte,Raub
Auseinandersetzung zwischen Jugendgruppen,Raub
Polizistinnen angegriffen – Festnahme,Raub
Scheiben eines Einsatzfahrzeugs zerstört,Raub
Flucht vor der Polizei,Betrug
Polizeiliche Verkehrskontrollen zum Ferienende und zur Einschulung 2020,Raub
Schläge und Tritte gegen Polizeieinsatzkräfte,Raub
Auseinandersetzung endet tödlich,Raub
Junger Mann rassistisch beleidigt und bedroht,Körperverletzung
Sieben Fahrzeuge beschädigt,Raub
Durchsuchungen nach bandenmäßigem Rauschgifthandel,Diebstahl
Tatverdächtiger nach Schüssen in Bar von Spezialeinsatzkräften festgenommen,Sachbeschädigung
Motorradfahrer schwer verletzt – Polizei sucht Zeugen und bittet um Mithilfe,Raub
Jugendliche tot aufgefunden - Tatverdächtiger stellt sich,Raub
Kradfahrer schwer verletzt,Verkehrsunfall
Fahrgast zieht Messer,Raub
"Mit Flasche bedroht, getreten, sexuell belästigt",Raub
Pkw stößt mit Kleintransporter zusammen,Raub
Räuberischer Diebstahl,Raub
Mann erleidet Stichverletzungen – Mordkommission ermittelt,Raub
Festnahme nach Bedrohung,Diebstahl
Bei Auseinandersetzung verletzt,Verkehrsunfall
Fußgänger lebensgefährlich verletzt,Verkehrsunfall
Auto ausgebrannt,Brandstiftung
Fahrzeuge brannten,Raub
Toilettenhäuschen beschmiert - Festnahme,Raub
Mutter fremdenfeindlich beleidigt,Körperverletzung
Radfahrer bei Verkehrsunfall tödlich verletzt,Verkehrsunfall
"Mutter bedroht, Sohn rassistisch beleidigt",Körperverletzung
Drei Männer nach Raub festgenommen,Diebstahl
Beleidigung und Körperverletzung,Raub
Senior bei Unfall lebensgefährlich verletzt,Verkehrsunfall
Auto beschädigt,Brandstiftung
Geschäftshaus beschädigt,Raub
Festnahmen nach politischer Schmiererei,Diebstahl
Schwer verletzte Beifahrerin,Verkehrsunfall
Fahrradfahrer fuhr gegen geparktes Auto,Brandstiftung
Junge Frau verletzt gefunden,Raub
"Motorradfahrer bei Unfall schwer verletzt, Hündin verstorben",Verkehrsunfall
Seniorin bei Unfall lebensgefährlich verletzt,Verkehrsunfall
Demonstrationen im gesamten Stadtgebiet,Raub
Brandstiftungen an Fahrzeugen,Raub
Versuchter Banküberfall - zwölf Verletzte,Raub
Rassistisch und sexuell beleidigt,Körperverletzung
Einbruch in Kfz-Zulassungsstelle – Durchsuchungsbeschlüsse vollstreckt,Sachbeschädigung
Wohn- und Geschäftshaus beschädigt,Raub
Landesvertretung attackiert,Raub
Autofahrer flüchtet vor Polizeikontrolle - Polizistin muss aus dem Weg springen,Raub
Nach Verkehrsunfall in Krankenhaus verstorben,Sachbeschädigung
Kein Platz für abwertende Aussagen,Raub
Fahrzeuge brannten,Raub
Mann erleidet Schnittverletzungen,Raub
Transfrau beschimpft,Raub
Tatverdächtiger zu Diebstählen aus Handtaschen bekannt,Raub
Einsatzkräfte bei Widerstand verletzt - Festnahmen,Drogenvergehen
Fahrradfahrerin schwer verletzt,Verkehrsunfall
Mutmaßliche Geschäftseinbrecher festgenommen,Raub
Bürgerbüro beschmiert und beschädigt,Raub
Polizeiliche Maßnahmen in zwei Parkanlagen zur Einhaltung der Eindämmungsmaßnahmenverordnung,Sachbeschädigung
Mit Drogen auf einem gestohlenen Fahrrad unterwegs,Raub
Schlimmeres verhindert,Raub
Mit Teleskopschlagstock geschlagen und beraubt,Raub
Verdacht der Brandstiftung,Körperverletzung
Nach Unfall geflüchtet - Polizei bittet um Mithilfe,Raub
Mit gestohlenem Auto unterwegs - Festnahme,Brandstiftung
Schwer verletzter Mann,Verkehrsunfall
"Volksverhetzung, fremdenfeindliche Beleidigungen und Bedrohung",Raub
Festnahme nach Einbruch,Diebstahl
Deutschlandfahnen verbrannt,Raub
Aufgebrochener Geldautomat,Raub
Arbeitskollege rassistisch beleidigt,Körperverletzung
